<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.06.26	00:00:00	1.27072	1.27354	1.27039	1.27336	6502	0	0
2023.06.26	04:00:00	1.27336	1.27388	1.27269	1.27324	7437	0	0
2023.06.26	08:00:00	1.27322	1.27486	1.27104	1.27372	13376	0	0
2023.06.26	12:00:00	1.27370	1.27448	1.26880	1.27168	12629	0	0
2023.06.26	16:00:00	1.27096	1.27278	1.26947	1.27219	13578	0	0
2023.06.26	20:00:00	1.27219	1.27260	1.27099	1.27109	5808	0	0
2023.06.27	00:00:00	1.27089	1.27158	1.27030	1.27050	5189	0	0
2023.06.27	04:00:00	1.27052	1.27369	1.27045	1.27292	9033	0	0
2023.06.27	08:00:00	1.27292	1.27581	1.27261	1.27373	12349	0	0
2023.06.27	12:00:00	1.27371	1.27443	1.27119	1.27373	13209	0	0
2023.06.27	16:00:00	1.27374	1.27593	1.27333	1.27497	16829	0	0
2023.06.27	20:00:00	1.27497	1.27575	1.27432	1.27480	8288	0	0
2023.06.28	00:00:00	1.27484	1.27522	1.27420	1.27438	5610	0	0
2023.06.28	04:00:00	1.27440	1.27462	1.27239	1.27256	9330	0	0
2023.06.28	08:00:00	1.27257	1.27371	1.27020	1.27112	12001	0	0
2023.06.28	12:00:00	1.27112	1.27149	1.26325	1.26403	14139	0	0
2023.06.28	16:00:00	1.26403	1.26503	1.26065	1.26481	17444	0	0
2023.06.28	20:00:00	1.26482	1.26535	1.26349	1.26353	6693	0	0
2023.06.29	00:00:00	1.26349	1.26458	1.26255	1.26345	4046	0	0
2023.06.29	04:00:00	1.26345	1.26470	1.26172	1.26203	8605	0	0
2023.06.29	08:00:00	1.26203	1.26535	1.26148	1.26461	12833	0	0
2023.06.29	12:00:00	1.26462	1.26668	1.26001	1.26059	12369	0	0
2023.06.29	16:00:00	1.26063	1.26314	1.25909	1.26233	17106	0	0
2023.06.29	20:00:00	1.26233	1.26245	1.26087	1.26121	6454	0	0
2023.06.30	00:00:00	1.26128	1.26197	1.26076	1.26170	4079	0	0
2023.06.30	04:00:00	1.26172	1.26258	1.26104	1.26233	8129	0	0
2023.06.30	08:00:00	1.26235	1.26506	1.25991	1.26147	11790	0	0
2023.06.30	12:00:00	1.26147	1.26909	1.26106	1.26847	12907	0	0
2023.06.30	16:00:00	1.26847	1.27276	1.26815	1.27160	18123	0	0
2023.06.30	20:00:00	1.27161	1.27222	1.26919	1.26979	6883	0	0
2023.07.03	00:00:00	1.26899	1.27035	1.26875	1.26902	3564	0	0
2023.07.03	04:00:00	1.26902	1.27073	1.26882	1.27054	8517	0	0
2023.07.03	08:00:00	1.27054	1.27054	1.26585	1.26708	11984	0	0
2023.07.03	12:00:00	1.26707	1.26954	1.26617	1.26939	11587	0	0
2023.07.03	16:00:00	1.26941	1.27232	1.26739	1.26976	14518	0	0
2023.07.03	20:00:00	1.26976	1.27006	1.26808	1.26907	3758	0	0
2023.07.04	00:00:00	1.26922	1.27003	1.26824	1.26974	2612	0	0
2023.07.04	04:00:00	1.26974	1.27018	1.26848	1.26865	6404	0	0
2023.07.04	08:00:00	1.26865	1.27111	1.26835	1.26952	9048	0	0
2023.07.04	12:00:00	1.26963	1.27395	1.26936	1.27366	7629	0	0
2023.07.04	16:00:00	1.27365	1.27372	1.27169	1.27185	7226	0	0
2023.07.04	20:00:00	1.27188	1.27241	1.27122	1.27130	3373	0	0
2023.07.05	00:00:00	1.27105	1.27212	1.27081	1.27138	3111	0	0
2023.07.05	04:00:00	1.27137	1.27163	1.27001	1.27057	6351	0	0
2023.07.05	08:00:00	1.27056	1.27223	1.26954	1.27123	11291	0	0
2023.07.05	12:00:00	1.27123	1.27264	1.26881	1.27151	11053	0	0
2023.07.05	16:00:00	1.27151	1.27355	1.27014	1.27075	13706	0	0
2023.07.05	20:00:00	1.27075	1.27123	1.26918	1.27040	6732	0	0
2023.07.06	00:00:00	1.27032	1.27075	1.26925	1.26974	3605	0	0
2023.07.06	04:00:00	1.26974	1.27120	1.26897	1.27038	9076	0	0
2023.07.06	08:00:00	1.27038	1.27311	1.26986	1.27108	13881	0	0
2023.07.06	12:00:00	1.27108	1.27812	1.27060	1.27463	16929	0	0
2023.07.06	16:00:00	1.27463	1.27600	1.26738	1.27273	19261	0	0
2023.07.06	20:00:00	1.27274	1.27439	1.27242	1.27392	6348	0	0
2023.07.07	00:00:00	1.27395	1.27450	1.27290	1.27319	3162	0	0
2023.07.07	04:00:00	1.27320	1.27447	1.27273	1.27403	6170	0	0
2023.07.07	08:00:00	1.27405	1.27499	1.27258	1.27346	11505	0	0
2023.07.07	12:00:00	1.27346	1.28080	1.27334	1.27806	14968	0	0
2023.07.07	16:00:00	1.27801	1.28496	1.27539	1.28494	19265	0	0
2023.07.07	20:00:00	1.28493	1.28493	1.28301	1.28398	6868	0	0
2023.07.10	00:00:00	1.28315	1.28413	1.28217	1.28253	4330	0	0
2023.07.10	04:00:00	1.28254	1.28343	1.28089	1.28101	10017	0	0
2023.07.10	08:00:00	1.28100	1.28255	1.27983	1.28183	10904	0	0
2023.07.10	12:00:00	1.28182	1.28244	1.27506	1.27538	11257	0	0
2023.07.10	16:00:00	1.27538	1.28466	1.27538	1.28461	13518	0	0
2023.07.10	20:00:00	1.28460	1.28684	1.28430	1.28607	6092	0	0
2023.07.11	00:00:00	1.28606	1.28693	1.28510	1.28689	3410	0	0
2023.07.11	04:00:00	1.28688	1.28836	1.28645	1.28785	7760	0	0
2023.07.11	08:00:00	1.28788	1.29133	1.28673	1.28861	13821	0	0
2023.07.11	12:00:00	1.28857	1.29347	1.28846	1.28966	12553	0	0
2023.07.11	16:00:00	1.28968	1.29223	1.28861	1.29222	12983	0	0
2023.07.11	20:00:00	1.29223	1.29337	1.29148	1.29314	6347	0	0
2023.07.12	00:00:00	1.29324	1.29531	1.29271	1.29468	4443	0	0
2023.07.12	04:00:00	1.29465	1.29693	1.29454	1.29662	9434	0	0
2023.07.12	08:00:00	1.29662	1.29668	1.29320	1.29321	10202	0	0
2023.07.12	12:00:00	1.29322	1.29756	1.29040	1.29479	13634	0	0
2023.07.12	16:00:00	1.29480	1.30006	1.29464	1.29963	19818	0	0
2023.07.12	20:00:00	1.29963	1.29966	1.29765	1.29884	7899	0	0
2023.07.13	00:00:00	1.29874	1.30001	1.29804	1.29914	4601	0	0
2023.07.13	04:00:00	1.29914	1.30188	1.29886	1.30061	10029	0	0
2023.07.13	08:00:00	1.30060	1.30614	1.29839	1.30425	15387	0	0
2023.07.13	12:00:00	1.30425	1.30833	1.30360	1.30832	14494	0	0
2023.07.13	16:00:00	1.30832	1.31161	1.30786	1.31136	15538	0	0
2023.07.13	20:00:00	1.31135	1.31410	1.31090	1.31352	7425	0	0
2023.07.14	00:00:00	1.31336	1.31388	1.31168	1.31202	6011	0	0
2023.07.14	04:00:00	1.31203	1.31421	1.31191	1.31310	8983	0	0
2023.07.14	08:00:00	1.31309	1.31325	1.30930	1.31206	11714	0	0
2023.07.14	12:00:00	1.31206	1.31421	1.31004	1.31132	13057	0	0
2023.07.14	16:00:00	1.31130	1.31303	1.30936	1.31128	18133	0	0
2023.07.14	20:00:00	1.31136	1.31147	1.30896	1.30923	7814	0	0
2023.07.17	00:00:00	1.30920	1.30980	1.30786	1.30930	4646	0	0
2023.07.17	04:00:00	1.30931	1.30966	1.30816	1.30880	8248	0	0
2023.07.17	08:00:00	1.30880	1.31092	1.30649	1.30937	11969	0	0
2023.07.17	12:00:00	1.30937	1.31069	1.30536	1.30676	12949	0	0
2023.07.17	16:00:00	1.30677	1.30926	1.30509	1.30752	12558	0	0
2023.07.17	20:00:00	1.30752	1.30873	1.30705	1.30732	5752	0	0
2023.07.18	00:00:00	1.30727	1.30826	1.30678	1.30783	4269	0	0
2023.07.18	04:00:00	1.30782	1.31000	1.30741	1.30946	10209	0	0
2023.07.18	08:00:00	1.30946	1.31068	1.30719	1.30787	13432	0	0
2023.07.18	12:00:00	1.30788	1.31256	1.30723	1.30888	14967	0	0
2023.07.18	16:00:00	1.30890	1.30987	1.30280	1.30347	17869	0	0
2023.07.18	20:00:00	1.30347	1.30496	1.30298	1.30345	7158	0	0
2023.07.19	00:00:00	1.30353	1.30410	1.30302	1.30360	4587	0	0
2023.07.19	04:00:00	1.30362	1.30387	1.30127	1.30164	9074	0	0
2023.07.19	08:00:00	1.30164	1.30348	1.29230	1.29327	18637	0	0
2023.07.19	12:00:00	1.29327	1.29568	1.28972	1.29158	15440	0	0
2023.07.19	16:00:00	1.29159	1.29202	1.28675	1.29087	18273	0	0
2023.07.19	20:00:00	1.29086	1.29404	1.29060	1.29397	7141	0	0
2023.07.20	00:00:00	1.29357	1.29477	1.29264	1.29466	4435	0	0
2023.07.20	04:00:00	1.29466	1.29648	1.29411	1.29440	9661	0	0
2023.07.20	08:00:00	1.29440	1.29450	1.29053	1.29241	11852	0	0
2023.07.20	12:00:00	1.29240	1.29240	1.28550	1.28712	13450	0	0
2023.07.20	16:00:00	1.28712	1.28830	1.28396	1.28530	15759	0	0
2023.07.20	20:00:00	1.28533	1.28691	1.28511	1.28675	6181	0	0
2023.07.21	00:00:00	1.28665	1.28776	1.28615	1.28763	3942	0	0
2023.07.21	04:00:00	1.28764	1.28860	1.28665	1.28796	8003	0	0
2023.07.21	08:00:00	1.28796	1.29041	1.28403	1.28582	14130	0	0
2023.07.21	12:00:00	1.28583	1.28698	1.28161	1.28304	13541	0	0
2023.07.21	16:00:00	1.28303	1.28616	1.28290	1.28586	13143	0	0
2023.07.21	20:00:00	1.28587	1.28662	1.28484	1.28518	5677	0	0
2023.07.24	00:00:00	1.28455	1.28669	1.28434	1.28642	5060	0	0
2023.07.24	04:00:00	1.28642	1.28701	1.28492	1.28641	8528	0	0
2023.07.24	08:00:00	1.28642	1.28839	1.28070	1.28160	16054	0	0
2023.07.24	12:00:00	1.28160	1.28592	1.28154	1.28368	13146	0	0
2023.07.24	16:00:00	1.28367	1.28440	1.27978	1.28320	17030	0	0
2023.07.24	20:00:00	1.28320	1.28409	1.28151	1.28238	6700	0	0
2023.07.25	00:00:00	1.28257	1.28368	1.28095	1.28156	5318	0	0
